Day,Month,Temp,Fecha,Day_year
1,5,29,5/1/2024,122
2,5,28,5/2/2024,123
3,5,29,5/3/2024,124
4,5,27,5/4/2024,125
5,5,27,5/5/2024,126
6,5,29,5/6/2024,127
7,5,29,5/7/2024,128
8,5,28,5/8/2024,129
9,5,28,5/9/2024,130
10,5,27,5/10/2024,131
11,5,28,5/11/2024,132
12,5,28,5/12/2024,133
13,5,28,5/13/2024,134
14,5,25,5/14/2024,135
15,5,24,5/15/2024,136
16,5,23,5/16/2024,137
17,5,25,5/17/2024,138
18,5,26,5/18/2024,139
19,5,25,5/19/2024,140
20,5,26,5/20/2024,141
21,5,26,5/21/2024,142
22,5,27,5/22/2024,143
23,5,25,5/23/2024,144
24,5,27,5/24/2024,145
25,5,27,5/25/2024,146
26,5,27,5/26/2024,147
27,5,27,5/27/2024,148
28,5,24,5/28/2024,149
29,5,25,5/29/2024,150
30,5,26,5/30/2024,151
31,5,27,5/31/2024,152
1,6,28,6/1/2024,153
2,6,30,6/2/2024,154
3,6,30,6/3/2024,155
4,6,30,6/4/2024,156
5,6,29,6/5/2024,157
6,6,27,6/6/2024,158
7,6,27,6/7/2024,159
8,6,28,6/8/2024,160
9,6,30,6/9/2024,161
10,6,30,6/10/2024,162
11,6,31,6/11/2024,163
12,6,31,6/12/2024,164
13,6,32,6/13/2024,165
14,6,33,6/14/2024,166
15,6,32,6/15/2024,167
16,6,31,6/16/2024,168
17,6,30,6/17/2024,169
18,6,32,6/18/2024,170
19,6,33,6/19/2024,171
20,6,32,6/20/2024,172
21,6,31,6/21/2024,173
22,6,31,6/22/2024,174
23,6,30,6/23/2024,175
24,6,29,6/24/2024,176
25,6,27,6/25/2024,177
26,6,24,6/26/2024,178
27,6,27,6/27/2024,179
28,6,25,6/28/2024,180
29,6,22,6/29/2024,181
30,6,27,6/30/2024,182
1,7,27,7/1/2024,183
2,7,26,7/2/2024,184
3,7,27,7/3/2024,185
4,7,26,7/4/2024,186
5,7,26,7/5/2024,187
6,7,26,7/6/2024,188
7,7,26,7/7/2024,189
8,7,26,7/8/2024,190
9,7,27,7/9/2024,191
10,7,25,7/10/2024,192
11,7,27,7/11/2024,193
12,7,27,7/12/2024,194
13,7,27,7/13/2024,195
14,7,28,7/14/2024,196
15,7,26,7/15/2024,197
16,7,27,7/16/2024,198
17,7,24,7/17/2024,199
18,7,27,7/18/2024,200
19,7,27,7/19/2024,201
20,7,27,7/20/2024,202
21,7,27,7/21/2024,203
22,7,25,7/22/2024,204
23,7,23,7/23/2024,205
24,7,23,7/24/2024,206
25,7,25,7/25/2024,207
26,7,25,7/26/2024,208
27,7,18,7/27/2024,209
28,7,23,7/28/2024,210
29,7,26,7/29/2024,211
30,7,21,7/30/2024,212
31,7,25,7/31/2024,213
1,8,26,8/1/2024,214
2,8,26,8/2/2024,215
3,8,24,8/3/2024,216
4,8,24,8/4/2024,217
5,8,26,8/5/2024,218
6,8,26,8/6/2024,219
7,8,27,8/7/2024,220
8,8,28,8/8/2024,221
9,8,29,8/9/2024,222
10,8,28,8/10/2024,223
11,8,27,8/11/2024,224
12,8,26,8/12/2024,225
13,8,26,8/13/2024,226
14,8,24,8/14/2024,227
15,8,22,8/15/2024,228
16,8,22,8/16/2024,229
17,8,24,8/17/2024,230
18,8,24,8/18/2024,231
